Stock,Index,Alpha,Beta,R2,Correlation
DRREDDY.NS,^CNXFMCG,5.348295716262963e-06,0.27276702219274424,0.03234523671327161,0.1798478154253527
DRREDDY.NS,^CNXIT,2.13431210239242e-05,0.24524793017405827,0.0643047639683334,0.25358384011670265
DRREDDY.NS,^CNXPHARMA,-0.0002737779117390235,0.7856541772089094,0.40137014190138454,0.6335377983209726
DRREDDY.NS,^NSEBANK,-0.000263459237828129,0.3547892879857519,0.06488734143509711,0.2547299382387102
DRREDDY.NS,^NSEI,-8.432367085355012e-05,0.5993712865593636,0.15389214403802753,0.3922908921170968
EICHERMOT.NS,^CNXAUTO,0.0004007886058148597,0.7876643447534105,0.40640263736676285,0.6374971665558702
EICHERMOT.NS,^CNXFMCG,0.0001750657509149826,0.6939171868172285,0.15334395112722965,0.3915915616139215
EICHERMOT.NS,^CNXIT,5.860508329968837e-05,0.3778358020879622,0.1118055633032704,0.33437338904773867
EICHERMOT.NS,^CNXPHARMA,-0.00029211658541302695,0.6207200034333471,0.18352635908860893,0.42839976550951675
EICHERMOT.NS,^NSEBANK,-0.0004931702608416016,0.8593783875013988,0.2788769306569314,0.5280879951835031
EICHERMOT.NS,^NSEI,-9.048339018669762e-05,1.0846051941321144,0.3691413487877201,0.6075700361174173
GRASIM.NS,^CNXAUTO,0.0002903307318952032,0.5737602254372435,0.23990656324106452,0.4898025757803491
GRASIM.NS,^CNXFMCG,0.00015731383888575607,0.5663890792955562,0.11365491225110225,0.3371274421507425
GRASIM.NS,^CNXIT,0.00011271494425590451,0.3874069915053067,0.13076731767382188,0.3616176401585269
GRASIM.NS,^CNXPHARMA,-0.00024036973679316846,0.5994500638009629,0.19042330383414396,0.4363751870055675
GRASIM.NS,^NSEBANK,-0.0004324381836290045,0.8241293596001782,0.28532617563847773,0.5341593167197195
GRASIM.NS,^NSEI,-4.3673572025508436e-05,1.070637345048482,0.40016695157491244,0.6325875050733396
HCLTECH.NS,^CNXAUTO,0.0002177563163137281,0.4641276275951098,0.12400235971855467,0.3521396877924365
HCLTECH.NS,^CNXFMCG,0.0001724407694135072,0.5789733979679942,0.09381008811952685,0.306284325618414
HCLTECH.NS,^CNXIT,0.0004983882329684017,0.9777804314608108,0.6579923516649646,0.8111672772400059
HCLTECH.NS,^CNXPHARMA,-0.00018815156377019829,0.3522363387935562,0.05193453489103306,0.2278914980665868
HCLTECH.NS,^NSEBANK,-0.0002915064132289711,0.4579500422263802,0.06959225439457006,0.26380343893620906
HCLTECH.NS,^NSEI,-3.932834331679237e-05,1.02013486540901,0.2869759353298299,0.5357013490087831
HDFCBANK.NS,^CNXAUTO,0.0013205883436190522,0.4305788184199879,0.20649086469238243,0.45441265903623584
HDFCBANK.NS,^CNXFMCG,0.001203259856670869,0.3910925557332112,0.08281935333992207,0.2877835181867126
HDFCBANK.NS,^CNXIT,0.001128406086797708,0.19851735627758865,0.052477790373993805,0.22908031424370331
HDFCBANK.NS,^CNXPHARMA,0.0009536428136908078,0.2721931169295139,0.06000433393148019,0.24495782071916025
